ASNNumber;Номенклатура;Машина;Qty ASN;ДП/МП;Паллет №;Приоритет;Факт;Остаток;Часы;Статус;Приемка до;Месяц;Тип
DPS052275;MyDay Toric (30pk);26_007;1;ДП;3;;1;0;0,0;Закрыто;;-;Сложные
DPS052278;Avaira Vitality toric (6pk);26_007;775;ДП;3;;774;1;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052278;Clariti 1 Day toric (30pk);26_007;51;ДП;3;;49;2;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052278;Diag MyDay Toric (5pk);26_007;1 395;ДП;3;;1395;0;0,0;Закрыто;;-;Сложные
DPS052278;WB Fanfilcon A toric (6pk);26_007;300;ДП;3;;300;0;0,0;Закрыто;;-;Сложные
DPS052278;Diag Clariti 1day  multifocal (5pk) (new);26_007;97;ДП;3;;97;0;0,0;Закрыто;;-;Сложные
DPS052278;WB Omafilcon A 60% 1 Day (30pk);26_007;30;ДП;3;;30;0;0,0;Закрыто;;-;Сфера
DPS052278;Proclear 1 day (30pk);26_007;70;ДП;3;;69;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175765;MiSight 1 day (90pk);26_007;2 173;МП;10,11;;2173;0;0,0;Закрыто;;-;Сфера
DPS052137;Avaira Vitality toric (6pk);26_007;216;ДП;3;;216;0;0,0;Закрыто;;-;Сложные
DPS052137;Biofinity Toric (3 pk) (new);26_007;21;ДП;3;;21;0;0,0;Закрыто;;-;Сложные
DPS052137;Clariti 1 Day toric (30pk);26_007;9;ДП;3;;9;0;0,0;Закрыто;;-;Сложные
DPS052137;Diag Biofinity Multifocal (1pk);26_007;178;ДП;3;;0;178;3,6;В приемке;30.06.2026;01.06.2026;1pk
DPS052137;Diag Biofinity Toric (1pk);26_007;306;ДП;3;;0;306;6,1;В приемке;30.06.2026;01.06.2026;1pk
DPS052137;Diag Clariti 1 Day toric (5pk) (new);26_007;18;ДП;3;;18;0;0,0;Закрыто;;-;Сложные
DPS052137;iWear activ astigmatism (30 pk);26_007;17;ДП;3;;15;2;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052137;WB Fanfilcon A toric (6pk);26_007;63;ДП;3;;63;0;0,0;Закрыто;;-;Сложные
DPS052137;WB Somofilcon A toric 56% 1 Day (30pk);26_007;5;ДП;3;;5;0;0,0;Закрыто;;-;Сложные
DPS052137;Diag Clariti 1day  multifocal (5pk) (new);26_007;20;ДП;3;;20;0;0,0;Закрыто;;-;Сложные
DPS052137;MyDay Toric (30pk);26_007;17;ДП;3;;16;1;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052137;Diag Biofinity Energys (3pk);26_007;5;ДП;3;;5;0;0,0;Закрыто;;-;Сфера
DPS052137;WB Stenfilcon A toric 54% 1 Day MD (30pk);26_007;7;ДП;3;;7;0;0,0;Закрыто;;-;Сложные
DPS052165;Avaira Vitality toric (6pk);26_007;429;ДП;2;;429;0;0,0;Закрыто;;-;Сложные
DPS052165;Clariti 1 Day toric (30pk);26_007;180;ДП;2;;180;0;0,0;Закрыто;;-;Сложные
DPS052165;MyDay (90pk);26_007;1 156;ДП;2;;1155;1;0,0;В приемке;;недостача;Сфера
DPS052165;WB Comfilcon A toric BF (3pk);26_007;48;ДП;2;;48;0;0,0;Закрыто;;-;Сложные
DPS052165;WB Stenfilcon A 54% 1 Day MD (30pk);26_007;404;ДП;2;;404;0;0,0;Закрыто;;-;Сфера
DPS052165;WB Stenfilcon A 54% 1 Day MD (90pk);26_007;92;ДП;2;;92;0;0,0;Закрыто;;-;Сфера
DPS052165;Diag Proclear 1 day (5pk);26_007;111;ДП;2;;111;0;0,0;Закрыто;;-;Сфера
DPS052159;Avaira Vitality toric (6pk);26_007;192;ДП;3;;192;0;0,0;Закрыто;;-;Сложные
DPS052159;Biofinity multifocal (3 pk);26_007;9;ДП;3;;9;0;0,0;Закрыто;;-;Сложные
DPS052159;Clariti 1 Day toric (30pk);26_007;31;ДП;3;;31;0;0,0;Закрыто;;-;Сложные
DPS052159;Diag Biofinity Multifocal (1pk);26_007;87;ДП;3;;0;87;1,7;В приемке;30.06.2026;01.06.2026;1pk
DPS052159;Diag Biofinity Toric (1pk);26_007;23;ДП;3;;0;23;0,5;В приемке;30.06.2026;01.06.2026;1pk
DPS052159;Diag Clariti 1 Day toric (5pk) (new);26_007;43;ДП;3;;43;0;0,0;Закрыто;;-;Сложные
DPS052159;iWear activ astigmatism (30 pk);26_007;11;ДП;3;;11;0;0,0;Закрыто;;-;Сложные
DPS052159;WB Comfilcon A multifocal BF (3 pk);26_007;9;ДП;3;;9;0;0,0;Закрыто;;-;Сложные
DPS052159;WB Comfilcon A toric BF (3pk);26_007;3;ДП;3;;3;0;0,0;Закрыто;;-;Сложные
DPS052159;WB Fanfilcon A toric (6pk);26_007;104;ДП;3;;104;0;0,0;Закрыто;;-;Сложные
DPS052159;MyDay Toric (30pk);26_007;1;ДП;3;;1;0;0,0;Закрыто;;-;Сложные
DPS052159;Biofinity Energys (3pk);26_007;3;ДП;3;;3;0;0,0;Закрыто;;-;Сфера
DPS052159;WB Stenfilcon A toric 54% 1 Day MD (30pk);26_007;19;ДП;3;;19;0;0,0;Закрыто;;-;Сложные
DPS052164;Avaira Vitality toric (6pk);26_007;1 573;ДП;1;;1572;1;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052164;Clariti 1 Day multifocal (30pk);26_007;810;ДП;1;;769;41;0,3;В приемке;30.06.2026;01.06.2026;Сложные
DPS052164;Clariti 1 Day toric (30pk);26_007;53;ДП;1;;53;0;0,0;Закрыто;;-;Сложные
DPS052164;Diag Biofinity Toric (1pk);26_007;490;ДП;1;;0;490;9,8;В приемке;30.06.2026;01.06.2026;1pk
DPS052164;WB Fanfilcon A toric (6pk);26_007;1 426;ДП;1;;1423;3;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052164;Diag MyDay Multifocal (5pk);26_007;127;ДП;1;;0;127;1,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052164;Diag Clariti 1day (5pk);26_007;1 101;ДП;1;;1101;0;0,0;Закрыто;;-;Сфера
DPS052164;Diag MyDay (5pk);26_007;5 190;ДП;1;;5190;0;0,0;Закрыто;;-;Сфера
MPS175698;MiSight 1 day (90pk);26_007;1 647;МП;3,6;;1647;0;0,0;Закрыто;;-;Сфера
MPS175695;MiSight 1 day (90pk);26_007;1 507;МП;4,6;;1507;0;0,0;Закрыто;;-;Сфера
MPS175710;MiSight 1 day (90pk);26_007;2 173;МП;5,6;;2173;0;0,0;Закрыто;;-;Сфера
MPS175870;MiSight 1 day (90pk);26_007;1 393;МП;18,23;;1393;0;0,0;Закрыто;;-;Сфера
MPS175870;WB Stenfilcon A 54% 1 Day MD (90pk);26_007;70;МП;18,23;;70;0;0,0;Закрыто;;-;Сфера
MPS175756;MiSight 1 day (90pk);26_007;974;МП;9,11;;974;0;0,0;Закрыто;;-;Сфера
DPS051923;Biofinity XR Toric (3pk);26_007;137;ДП;2;;137;0;0,0;Закрыто;;-;Сложные
MPS175647;MiSight 1 day (90pk);26_007;1 878;МП;1,2;;1878;0;0,0;Закрыто;;-;Сфера
MPS175655;MiSight 1 day (90pk);26_007;1 096;МП;2,6,11;;1096;0;0,0;Закрыто;;-;Сфера
MPS175717;MiSight 1 day (90pk);26_007;1 791;МП;7,11,17;;1789;2;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175725;MiSight 1 day (90pk);26_007;2 018;МП;8,9;;2018;0;0,0;Закрыто;;-;Сфера
MPS175774;MiSight 1 day (90pk);26_007;1 901;МП;12,17;;1900;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175791;MiSight 1 day (90pk);26_007;2 865;МП;13,14,17;;2864;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175920;Diag MyDay (5pk);26_007;6 347;МП;21,23;;6343;4;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175922;Biofinity (3pk)_Bespoke;26_007;21 313;МП;19,20,21;;21313;0;0,0;Закрыто;;-;Сфера
MPS175825;MiSight 1 day (90pk);26_007;1 289;МП;15;;1289;0;0,0;Закрыто;;-;Сфера
MPS175805;Diag MyDay (5pk);26_007;10 801;МП;16,17;;10801;0;0,0;Закрыто;;-;Сфера
MPS175955;Diag MiSight 1 day (5 pk);26_007;13 374;МП;22,23;;13263;111;0,2;В приемке;30.06.2026;01.06.2026;Сфера
DPS052434;MiSight 1 day (90pk);26_008;85;ДП;1;;78;7;0,0;В приемке;30.06.2026;01.06.2026;Сфера
DPS052434;WB Comfilcon A multifocal BF (3 pk);26_008;9 708;ДП;1;;9706;2;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052445;Avaira Vitality toric (6pk);26_008;2 114;ДП;2;;2107;7;0,1;В приемке;30.06.2026;01.06.2026;Сложные
DPS052445;Diag Avaira Vitality toric (3pk);26_008;107;ДП;2;;107;0;0,0;Закрыто;;-;Сложные
DPS052445;Diag MiSight 1 day (5 pk);26_008;629;ДП;2;;629;0;0,0;Закрыто;;-;Сфера
DPS052445;WB Fanfilcon A toric (6pk);26_008;1 154;ДП;2;;1116;38;0,3;В приемке;30.06.2026;01.06.2026;Сложные
DPS052445;WB Stenfilcon A toric 54% 1 Day MD (30pk);26_008;3 038;ДП;2;;2683;355;2,8;В приемке;30.06.2026;01.06.2026;Сложные
MPS175964;Biofinity (3pk)_Bespoke;26_008;13 545;МП;1,6,21;;13545;0;0,0;Закрыто;;-;Сфера
MPS175972;MyDay (90pk);26_008;1 635;МП;2,8;;1635;0;0,0;Закрыто;;-;Сфера
MPS176003;Biofinity (3pk)_Bespoke;26_008;7 754;МП;3;;7754;0;0,0;Закрыто;;-;Сфера
MPS175986;MyDay (90pk);26_008;1 562;МП;4,8;;1551;11;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS176016;MyDay (90pk);26_008;1 790;МП;5,6;;1790;0;0,0;Закрыто;;-;Сфера
MPS176025;MyDay (90pk);26_008;247;МП;7;;247;0;0,0;Закрыто;;-;Сфера
MPS176073;MyDay (90pk);26_008;942;МП;7;;942;0;0,0;Закрыто;;-;Сфера
MPS176144;MiSight 1 day (90pk);26_008;1 901;МП;8,9;;1901;0;0,0;Закрыто;;-;Сфера
MPS176147;MiSight 1 day (90pk);26_008;2 058;МП;10,11;;2057;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS176151;WB Stenfilcon A 54% 1 Day MD (30pk);26_008;2 531;МП;11,19;;2529;2;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS176154;MyDay (30pk)_Bespoke;26_008;8 216;МП;12,13,21;;8216;0;0,0;Закрыто;;-;Сфера
MPS176162;MyDay (30pk)_Bespoke;26_008;4 106;МП;14,19;;4106;0;0,0;Закрыто;;-;Сфера
